,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,197484.0,3479.0360382795334,1416,759,1.865612648221344,5.442182657835572,61.28948044220165,6.395666666666667,13.643413020833334,4.388006770833333,24.025329103133817,40.20093140501166,21.44841187827095,12.639687874487993,0.997665766967656,0.9117375532590559,1.6886890534967265
0,101248.0,2490.381811618805,1190,130,9.153846153846153,1.5279314159292035,61.25554645663876,7.049316145833333,9.232017708333334,10.876065625,33.81620502961949,37.38222055491552,46.47922962038006,8.137424082767671,0.9971911347495961,0.9448180858455832,1.193795265227693
0,86570.5,2290.6833270788193,1095,119,9.201680672268907,1.5051894120976546,60.61221900020086,3.4343026041666667,6.371511458333333,2.6447572916666666,19.975698947358936,29.057373993583756,19.27504973278957,8.553729373141717,0.996610015252205,0.959022707535522,0.8487580137747326
0,190214.0,2856.479352593422,1318,254,5.188976377952756,1.7599756064222403,42.89628677065061,7.670414583333334,13.303598958333334,6.049156770833333,28.82288535743978,40.2218451420474,26.948603797464493,8.440064162194226,0.9984187675654411,0.9143311885159329,1.6739143876074523
0,227727.0,2917.248904109001,1324,286,4.629370629370629,1.6627979993588815,37.37080437772055,8.992027604166667,16.671171354166667,6.29428125,30.967157947359965,45.040192402092494,28.595326115105568,8.641447061774569,0.9985677237139683,0.8986438796688965,1.9680813301850477
0,233724.0,3689.8097653388977,1434,953,1.5047219307450157,5.847076038404272,58.25116849099918,7.319240104166667,15.730615104166667,4.43293125,24.81753263038167,42.2213212701679,21.53426747630638,14.561457094330926,0.9977080787111042,0.8956539190749961,1.9571506584599732
0,258395.0,3543.6777395009995,1396,874,1.597254004576659,4.721856073066429,48.59866453079554,9.674848958333333,18.432271354166666,6.657214583333333,28.70796453672343,46.43166266942421,24.427573585665854,11.795340512326527,0.9981005317049441,0.884638910869112,2.1260150671280167
0,244401.0,3732.956951022148,1479,912,1.6217105263157894,5.518995421458996,57.01681907269026,9.033226041666667,16.534254166666667,6.9478442708333334,29.570095116465566,43.37797982783121,28.114027064807853,13.627841063531557,0.9979453920391212,0.889017939306706,2.070195017802491
0,223690.0,3142.3170071840286,1404,388,3.618556701030928,2.43529885108856,44.14214392077424,8.594645833333333,16.134782291666667,5.9357151041666665,28.13372567384623,43.99786719954565,24.565104341450155,12.593482280342116,0.9977369717050049,0.8966265943935614,1.8916947074164259
0,288344.5,3083.270324110985,1329,450,2.953333333333333,2.074081524010342,32.96943722368021,9.552538020833333,19.346294791666665,6.716408333333334,27.72882559581335,45.99022483003598,24.64435095716523,10.302964188201102,0.9985952184570417,0.8743764121679283,2.286608236146093
